2026-03-10 11:38 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:43.4 Max:56.1] | RAM_USAGE [Min:24.2 Max:26.1] | GPU_USAGE [Min:2.5 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.3]
2026-03-10 11:39 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:43.0 Max:54.2] | RAM_USAGE [Min:24.1 Max:26.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.2]
2026-03-10 11:40 - CPU_TEMP [Min:43.0 Max:46.3] | CPU_USAGE [Min:43.6 Max:56.1] | RAM_USAGE [Min:24.3 Max:26.4] | GPU_USAGE [Min:2.7 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.1]
2026-03-10 11:41 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:44.4 Max:55.1] | RAM_USAGE [Min:24.1 Max:26.2] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:17.5 Max:19.1]
2026-03-10 11:42 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:43.7 Max:54.7] | RAM_USAGE [Min:24.1 Max:26.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.3]
2026-03-10 11:43 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:41.1 Max:58.7] | RAM_USAGE [Min:24.1 Max:27.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.7 Max:19.5]
2026-03-10 11:44 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:43.4 Max:54.9] | RAM_USAGE [Min:24.2 Max:26.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.2]
2026-03-10 11:45 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:42.9 Max:54.9] | RAM_USAGE [Min:24.2 Max:26.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.6 Max:19.1]
2026-03-10 11:46 - CPU_TEMP [Min:43.5 Max:46.3] | CPU_USAGE [Min:45.0 Max:58.8] | RAM_USAGE [Min:24.1 Max:25.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.4 Max:19.1]
2026-03-10 11:47 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:45.2 Max:58.6] | RAM_USAGE [Min:24.2 Max:26.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.5]
2026-03-10 11:48 - CPU_TEMP [Min:43.0 Max:46.3] | CPU_USAGE [Min:41.0 Max:52.2] | RAM_USAGE [Min:24.3 Max:26.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.2]
2026-03-10 11:49 - CPU_TEMP [Min:43.5 Max:46.3] | CPU_USAGE [Min:44.6 Max:54.9] | RAM_USAGE [Min:24.3 Max:26.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.3 Max:19.3]
