2026-03-11 00:00 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.4 Max:51.9] | RAM_USAGE [Min:24.8 Max:27.7] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.4 Max:20.4]
2026-03-11 00:01 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.8 Max:47.7] | RAM_USAGE [Min:24.8 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.4 Max:20.0]
2026-03-11 00:02 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.7 Max:42.5] | RAM_USAGE [Min:24.7 Max:28.4] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-11 00:03 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.9 Max:45.0] | RAM_USAGE [Min:25.2 Max:28.0] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-11 00:04 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.3 Max:43.8] | RAM_USAGE [Min:24.9 Max:28.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:05 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.3 Max:42.8] | RAM_USAGE [Min:24.7 Max:28.1] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:06 - CPU_TEMP [Min:58.4 Max:60.0] | CPU_USAGE [Min:35.9 Max:50.4] | RAM_USAGE [Min:25.0 Max:28.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-11 00:07 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.9 Max:44.4] | RAM_USAGE [Min:24.7 Max:27.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.9 Max:20.2]
2026-03-11 00:08 - CPU_TEMP [Min:57.3 Max:60.6] | CPU_USAGE [Min:36.3 Max:42.3] | RAM_USAGE [Min:25.0 Max:29.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-11 00:09 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.1 Max:44.2] | RAM_USAGE [Min:24.8 Max:28.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-11 00:10 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.3 Max:48.5] | RAM_USAGE [Min:24.7 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-11 00:11 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:36.1 Max:43.0] | RAM_USAGE [Min:24.7 Max:28.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.6 Max:20.3]
2026-03-11 00:12 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.1 Max:45.5] | RAM_USAGE [Min:24.7 Max:28.3] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.9 Max:20.0]
2026-03-11 00:13 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.7 Max:50.2] | RAM_USAGE [Min:25.1 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.2]
2026-03-11 00:14 - CPU_TEMP [Min:57.3 Max:60.0] | CPU_USAGE [Min:35.8 Max:42.4] | RAM_USAGE [Min:24.8 Max:27.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.1]
2026-03-11 00:15 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:36.3 Max:48.0] | RAM_USAGE [Min:24.9 Max:27.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.4]
2026-03-11 00:16 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.7 Max:45.2] | RAM_USAGE [Min:25.1 Max:28.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.3]
2026-03-11 00:17 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.9 Max:42.4] | RAM_USAGE [Min:24.9 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.8]
2026-03-11 00:18 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.2 Max:47.7] | RAM_USAGE [Min:24.8 Max:28.4] | GPU_USAGE [Min:2.7 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-11 00:19 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:36.2 Max:45.5] | RAM_USAGE [Min:24.9 Max:28.8] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-11 00:20 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.7 Max:42.4] | RAM_USAGE [Min:24.5 Max:28.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.8]
2026-03-11 00:21 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.0 Max:47.6] | RAM_USAGE [Min:24.9 Max:28.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.5]
2026-03-11 00:22 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.1 Max:42.6] | RAM_USAGE [Min:24.9 Max:27.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.5]
2026-03-11 00:23 - CPU_TEMP [Min:58.4 Max:60.6] | CPU_USAGE [Min:36.0 Max:42.9] | RAM_USAGE [Min:24.8 Max:27.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-11 00:24 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.7 Max:48.4] | RAM_USAGE [Min:24.7 Max:28.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.2 Max:20.5]
2026-03-11 00:25 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:36.2 Max:45.9] | RAM_USAGE [Min:25.1 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.3]
2026-03-11 00:26 - CPU_TEMP [Min:57.3 Max:60.6] | CPU_USAGE [Min:35.8 Max:43.1] | RAM_USAGE [Min:25.0 Max:28.5] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-11 00:27 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.8 Max:45.1] | RAM_USAGE [Min:24.9 Max:28.8] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:28 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.9 Max:50.2] | RAM_USAGE [Min:24.7 Max:28.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.3]
2026-03-11 00:29 - CPU_TEMP [Min:57.9 Max:61.7] | CPU_USAGE [Min:36.4 Max:43.0] | RAM_USAGE [Min:25.0 Max:28.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.4 Max:20.0]
2026-03-11 00:30 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.3 Max:48.5] | RAM_USAGE [Min:25.1 Max:27.7] | GPU_USAGE [Min:2.7 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.7]
2026-03-11 00:31 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.7 Max:42.7] | RAM_USAGE [Min:25.1 Max:29.6] | GPU_USAGE [Min:2.7 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.8]
2026-03-11 00:32 - CPU_TEMP [Min:58.4 Max:60.0] | CPU_USAGE [Min:35.9 Max:42.5] | RAM_USAGE [Min:24.8 Max:28.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.0 Max:20.0]
2026-03-11 00:33 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:36.2 Max:47.5] | RAM_USAGE [Min:24.7 Max:27.9] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.7 Max:20.5]
2026-03-11 00:34 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.9 Max:44.8] | RAM_USAGE [Min:25.0 Max:27.7] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-11 00:35 - CPU_TEMP [Min:58.4 Max:60.6] | CPU_USAGE [Min:36.0 Max:43.0] | RAM_USAGE [Min:25.0 Max:28.6] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.7 Max:20.0]
2026-03-11 00:36 - CPU_TEMP [Min:57.3 Max:60.6] | CPU_USAGE [Min:35.4 Max:49.1] | RAM_USAGE [Min:25.0 Max:28.0] | GPU_USAGE [Min:2.0 Max:3.6] | NPU_USAGE [Min:18.9 Max:20.5]
2026-03-11 00:37 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.5 Max:44.2] | RAM_USAGE [Min:25.0 Max:27.2] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.6 Max:20.6]
2026-03-11 00:38 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.9 Max:42.7] | RAM_USAGE [Min:24.8 Max:28.6] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.8 Max:20.1]
2026-03-11 00:39 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.9 Max:48.9] | RAM_USAGE [Min:25.0 Max:28.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:40 - CPU_TEMP [Min:58.4 Max:60.0] | CPU_USAGE [Min:35.8 Max:46.5] | RAM_USAGE [Min:24.9 Max:28.1] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.3]
2026-03-11 00:41 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.9 Max:43.1] | RAM_USAGE [Min:24.9 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.8]
2026-03-11 00:42 - CPU_TEMP [Min:58.4 Max:60.6] | CPU_USAGE [Min:36.4 Max:45.2] | RAM_USAGE [Min:24.9 Max:29.5] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.5 Max:20.2]
2026-03-11 00:43 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.2 Max:49.4] | RAM_USAGE [Min:25.1 Max:28.1] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.7]
2026-03-11 00:44 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:35.9 Max:42.4] | RAM_USAGE [Min:24.8 Max:27.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:45 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.2 Max:43.8] | RAM_USAGE [Min:24.9 Max:28.2] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:46 - CPU_TEMP [Min:58.4 Max:60.0] | CPU_USAGE [Min:36.2 Max:49.6] | RAM_USAGE [Min:24.8 Max:28.1] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:48 - CPU_TEMP [Min:57.9 Max:60.0] | CPU_USAGE [Min:36.0 Max:42.5] | RAM_USAGE [Min:25.0 Max:28.3] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-11 00:49 - CPU_TEMP [Min:57.9 Max:60.6] | CPU_USAGE [Min:35.5 Max:46.0] | RAM_USAGE [Min:24.8 Max:28.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.1]
